Time,Type,Price,Quantity
2023-06-07 10:45:00,close_long,1878.05,0.03265
2023-06-07 13:45:00,open_long,1878.59,0.03263
2023-06-07 16:15:00,close_long,1873.32,0.03263
2023-06-07 16:45:00,open_long,1875.78,0.03258
2023-06-07 17:00:00,close_long,1874.19,0.03258
2023-06-07 17:45:00,open_long,1867.17,0.03269
2023-06-07 18:15:00,close_long,1852.63,0.03269
2023-06-07 20:30:00,open_long,1865.78,0.03247
2023-06-07 22:30:00,close_long,1855.74,0.03247
2023-06-07 23:00:00,open_long,1843.5,0.03269
2023-06-07 23:15:00,close_long,1846.94,0.03269
2023-06-07 23:30:00,open_long,1846.06,0.03268
2023-06-08 00:45:00,close_long,1841.48,0.03268
2023-06-08 03:15:00,open_long,1849.1,0.03253
2023-06-08 05:15:00,close_long,1841.57,0.03253
2023-06-08 06:15:00,open_long,1831.35,0.03271
2023-06-08 07:00:00,close_long,1829.02,0.03271
2023-06-08 10:30:00,open_long,1840.79,0.03249
2023-06-08 12:15:00,close_long,1838.11,0.03249
2023-06-08 13:45:00,open_long,1837.51,0.03248
2023-06-08 15:00:00,close_long,1839.3,0.03248
2023-06-08 16:15:00,open_long,1839.97,0.03244
2023-06-08 18:15:00,close_long,1838.52,0.03244
2023-06-08 19:45:00,open_long,1843.75,0.03233
2023-06-08 21:30:00,close_long,1842.97,0.03233
2023-06-09 00:00:00,open_long,1854.76,0.03211
2023-06-09 02:30:00,close_long,1843.82,0.03211
2023-06-09 05:30:00,open_long,1849.91,0.03201
2023-06-09 09:00:00,close_long,1842.92,0.03201
2023-06-09 10:45:00,open_long,1832.91,0.03218
2023-06-09 11:00:00,close_long,1834.65,0.03218
2023-06-09 13:15:00,open_long,1837.65,0.0321
2023-06-09 14:30:00,close_long,1839.98,0.0321
2023-06-09 14:45:00,open_long,1839.99,0.03207
2023-06-09 16:15:00,close_long,1834.85,0.03207
2023-06-09 18:00:00,open_long,1843.58,0.03191
2023-06-09 20:15:00,close_long,1844.24,0.03191
2023-06-09 21:30:00,open_long,1850.16,0.03179
2023-06-09 23:30:00,close_long,1846.86,0.03179
2023-06-10 00:15:00,open_long,1842.15,0.03186
2023-06-10 01:30:00,close_long,1840.58,0.03186
2023-06-10 03:00:00,open_long,1837.3,0.0319
2023-06-10 04:15:00,close_long,1831.97,0.0319
2023-06-10 06:15:00,open_long,1836.15,0.03181
2023-06-10 07:45:00,close_long,1837.08,0.03181
2023-06-10 08:15:00,open_long,1838.67,0.03176
2023-06-10 08:30:00,close_long,1836.82,0.03176
2023-06-10 08:45:00,open_long,1839.55,0.0317
2023-06-10 09:30:00,close_long,1841.6,0.0317
2023-06-10 09:45:00,open_long,1838.44,0.03173
2023-06-10 10:00:00,close_long,1834.79,0.03173
2023-06-10 10:15:00,open_long,1838.1,0.03166
2023-06-10 12:00:00,close_long,1826.51,0.03166
2023-06-10 12:45:00,open_long,1788.01,0.03235
2023-06-10 14:15:00,close_long,1753.93,0.03235
2023-06-10 14:30:00,open_long,1756.21,0.03238
2023-06-10 15:00:00,close_long,1743.25,0.03238
2023-06-10 20:00:00,open_long,1746.87,0.03232
